"Rep","mean_rsc","final_rsc","mean_correlation","mean_male_trait","mean_female_trait"
1,39.9139769207486,39.8688029765739,0.293590706577084,59.9062209745839,60.6879473987571
2,40.0722795878957,40.0894075114916,0.309932772005813,54.9437728948159,55.5668855048951
3,40.0436531940051,40.1508758087476,0.299429840959584,56.6415906312796,57.282802686473
4,39.9587748333631,39.9608630726157,0.31966221785995,57.1152621892057,57.9387530466851
5,39.9680690462728,40.0983817213485,0.309707641390695,56.0295006558334,56.7952287413801
6,39.8169073587717,39.6562932065012,0.304224642078314,61.0632490340592,62.0142137338884
7,40.0310890489614,40.2417304376037,0.310059409601265,59.349128563251,60.2062118962283
8,39.9310424611172,39.837579725089,0.302940041626749,58.5877435534962,59.2879414131869
9,39.8823074073389,39.806370607911,0.314752653188547,57.945121399223,58.9133769475402
10,40.1911101931927,40.5477417928286,0.312006284584579,60.769361994485,61.8976544856445
